area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,Bannerghatta,3 BHK,1665.0,3.0,3.0,110.0,3,6606.606606606607,555.0
Built-up  Area,20-Dec,Other,2 BHK,1234.0,2.0,1.0,61.0,2,4943.273905996759,617.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1340.0,2.0,2.0,64.31,3,4799.253731343284,446.6666666666667
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1170.0,2.0,2.0,46.79,2,3999.1452991452993,585.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,995.0,2.0,0.0,46.0,2,4623.115577889447,497.5
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1075.0,2.0,2.0,60.0,2,5581.395348837209,537.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,1025.0,2.0,1.0,54.5,2,5317.073170731707,512.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2721.0,3.0,2.0,113.0,3,4152.884968761485,907.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2000.0,3.0,2.0,99.0,3,4950.0,666.6666666666666
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2500.0,4.0,3.0,155.0,4,6200.0,625.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,1325.0,2.0,2.0,70.0,2,5283.018867924528,662.5
Super built-up  Area,18-Apr,Kadugodi,2 BHK,1314.0,2.0,3.0,68.2,2,5190.258751902587,657.0
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,2265.0,3.0,2.0,136.0,3,6004.415011037528,755.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,7 Bedroom,4800.0,7.0,0.0,170.0,7,3541.6666666666665,685.7142857142857
Super built-up  Area,21-Dec,Yelahanka,2 BHK,1026.0,2.0,1.0,41.0,2,3996.101364522417,513.0
Built-up  Area,Ready To Move,Other,3 BHK,1200.0,3.0,2.0,66.0,3,5500.0,400.0
Built-up  Area,Ready To Move,Other,3 BHK,2220.0,4.0,2.0,65.0,3,2927.927927927928,740.0
Super built-up  Area,18-Sep,KR Puram,2 BHK,1192.5,2.0,0.0,51.22,2,4295.17819706499,596.25
Super built-up  Area,18-Dec,Hebbal,2 BHK,1420.0,2.0,1.0,99.39,2,6999.295774647887,710.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1888.0,4.0,1.0,95.0,3,5031.779661016949,629.3333333333334
Super built-up  Area,18-May,JP Nagar,2 BHK,1300.0,2.0,1.0,90.87,2,6990.0,650.0
Super built-up  Area,18-May,Rajaji Nagar,2 BHK,1216.0,2.0,0.0,97.16,2,7990.131578947368,608.0
Plot  Area,19-Dec,Other,4 Bedroom,3000.0,4.0,3.0,342.0,4,11400.0,750.0
Built-up  Area,Ready To Move,Begur,3 BHK,1559.0,3.0,2.0,63.0,3,4041.0519563822963,519.6666666666666
Super built-up  Area,Ready To Move,Harlur,2 BHK,1290.0,2.0,1.0,87.0,2,6744.186046511628,645.0
Plot  Area,Ready To Move,Other,6 Bedroom,2400.0,6.0,2.0,245.0,6,10208.333333333334,400.0
Built-up  Area,18-Jun,Whitefield,1 BHK,905.0,1.0,1.0,55.0,1,6077.348066298343,905.0
Built-up  Area,Ready To Move,Other,2 BHK,1069.0,2.0,2.0,55.0,2,5144.9953227315245,534.5
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,829.0,2.0,1.0,22.8,2,2750.301568154403,414.5
Built-up  Area,Ready To Move,Koramangala,2 BHK,1900.0,2.0,1.0,200.0,2,10526.315789473685,950.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1300.0,3.0,2.0,60.0,3,4615.384615384615,433.3333333333333
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1115.0,2.0,1.0,33.45,2,3000.0000000000005,557.5
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2409.0,3.0,2.0,360.0,3,14943.960149439601,803.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,2150.0,4.0,2.0,125.0,3,5813.953488372093,716.6666666666666
Super built-up  Area,19-Mar,Marathahalli,3 BHK,1305.0,2.0,1.0,69.0,3,5287.35632183908,435.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,1252.0,2.0,1.0,56.32,2,4498.402555910543,626.0
Plot  Area,Ready To Move,Hosakerehalli,5 Bedroom,2400.0,5.0,2.0,250.0,5,10416.666666666666,480.0
Plot  Area,18-Sep,Whitefield,2 Bedroom,1200.0,2.0,1.0,46.13,2,3844.1666666666665,600.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,1750.0,3.0,1.0,130.0,3,7428.571428571428,583.3333333333334
Plot  Area,Ready To Move,Other,2 Bedroom,1375.0,2.0,1.0,105.0,2,7636.363636363636,687.5
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1313.0,2.0,2.0,66.5,2,5064.737242955065,656.5
Plot  Area,Ready To Move,Attibele,4 Bedroom,3640.0,4.0,1.0,275.0,4,7554.945054945055,910.0
Super built-up  Area,20-Dec,Other,3 BHK,1693.0,3.0,2.0,108.0,3,6379.208505611341,564.3333333333334
Super built-up  Area,Ready To Move,Other,2 BHK,1160.0,2.0,1.0,41.75,2,3599.137931034483,580.0
Plot  Area,Ready To Move,Other,3 Bedroom,1200.0,3.0,0.0,200.0,3,16666.666666666668,400.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1255.0,2.0,2.0,79.0,3,6294.820717131474,418.3333333333333
Built-up  Area,Ready To Move,Other,2 BHK,900.0,2.0,1.0,45.0,2,5000.0,450.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1700.0,3.0,2.0,90.0,3,5294.117647058823,566.6666666666666
Carpet  Area,Ready To Move,Indira Nagar,3 BHK,1875.0,3.0,1.0,180.0,3,9600.0,625.0
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,1700.0,3.0,2.0,88.0,3,5176.470588235294,566.6666666666666
Super built-up  Area,Ready To Move,Harlur,3 BHK,1749.0,3.0,2.0,115.0,3,6575.18582046884,583.0
Plot  Area,Ready To Move,Dasanapura,2 Bedroom,1500.0,3.0,1.0,65.0,2,4333.333333333333,750.0
Super built-up  Area,Ready To Move,Other,2 BHK,1175.0,2.0,1.0,48.0,2,4085.1063829787236,587.5
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280.0,2.0,1.0,60.0,2,4687.5,640.0
Built-up  Area,Ready To Move,Other,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667,600.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1610.0,2.0,2.0,115.0,3,7142.857142857143,536.6666666666666
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,46.0,2,4299.065420560748,535.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200.0,2.0,0.0,66.0,2,5500.0,600.0
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,1127.0,2.0,1.0,50.0,2,4436.557231588287,563.5
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,1210.0,2.0,1.0,102.0,2,8429.752066115703,605.0
Built-up  Area,Ready To Move,Other,2 BHK,600.0,2.0,1.0,23.0,2,3833.3333333333335,300.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,4190.0,4.0,3.0,380.0,4,9069.212410501194,1047.5
Super built-up  Area,Ready To Move,Other,2 BHK,1364.0,2.0,2.0,70.0,2,5131.964809384164,682.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2268.0,3.0,0.0,146.0,4,6437.389770723104,567.0
Super built-up  Area,Ready To Move,Other,3 BHK,1150.0,2.0,2.0,77.5,3,6739.130434782609,383.3333333333333
Super built-up  Area,Ready To Move,Other,2 BHK,1146.0,2.0,1.0,39.5,2,3446.7713787085513,573.0
Built-up  Area,Ready To Move,Magadi Road,2 BHK,1345.0,2.0,2.0,55.0,2,4089.2193308550186,672.5
Super built-up  Area,Ready To Move,Other,2 BHK,1110.0,2.0,2.0,41.0,2,3693.6936936936936,555.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,750.0,2.0,1.0,36.0,2,4800.0,375.0
Built-up  Area,Ready To Move,Other,2 BHK,1156.0,2.0,2.0,49.5,2,4282.006920415225,578.0
Super built-up  Area,Ready To Move,Other,2 BHK,1247.0,2.0,1.0,59.8,2,4795.50922213312,623.5
Super built-up  Area,Ready To Move,Other,2 BHK,1058.0,2.0,2.0,60.0,2,5671.077504725898,529.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950.0,2.0,1.0,48.0,2,5052.631578947368,475.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1520.0,2.0,1.0,103.0,3,6776.315789473684,506.6666666666667
Built-up  Area,Ready To Move,Other,1 BHK,900.0,1.0,1.0,30.0,1,3333.3333333333335,900.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2350.0,3.0,2.0,174.0,3,7404.255319148936,783.3333333333334
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1050.0,2.0,2.0,46.0,2,4380.952380952381,525.0
Super built-up  Area,Ready To Move,Other,3 BHK,1672.0,3.0,2.0,150.0,3,8971.291866028709,557.3333333333334
Plot  Area,Ready To Move,Other,5 Bedroom,2800.0,5.0,2.0,125.0,5,4464.285714285715,560.0
Super built-up  Area,Ready To Move,Other,3 BHK,1500.0,2.0,2.0,65.0,3,4333.333333333333,500.0
Super built-up  Area,Ready To Move,Other,2 BHK,1400.0,2.0,2.0,65.0,2,4642.857142857143,700.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,2.0,130.0,4,4814.814814814815,675.0
Super built-up  Area,18-May,Bommasandra,2 BHK,920.0,2.0,1.0,37.46,2,4071.7391304347825,460.0
Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,1200.0,3.0,2.0,70.0,3,5833.333333333333,400.0
Built-up  Area,Ready To Move,Other,3 BHK,1250.0,3.0,2.0,139.0,3,11120.0,416.6666666666667
Super built-up  Area,18-Mar,Hosakerehalli,3 BHK,1817.0,4.0,2.0,153.0,3,8420.473307649972,605.6666666666666
Plot  Area,Ready To Move,Cooke Town,5 Bedroom,2043.0,6.0,2.0,375.0,5,18355.359765051395,408.6
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,4346.0,4.0,1.0,450.0,4,10354.348826507134,1086.5
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1464.0,2.0,2.0,56.0,2,3825.136612021858,732.0
Super built-up  Area,Ready To Move,Other,2 BHK,1468.0,3.0,2.0,130.0,2,8855.58583106267,734.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1555.0,2.0,1.0,82.0,3,5273.311897106109,518.3333333333334
Built-up  Area,Ready To Move,Whitefield,2 BHK,1150.0,2.0,0.0,55.0,2,4782.608695652174,575.0
Super built-up  Area,19-Oct,Kadubeesanahalli,2 BHK,970.0,2.0,1.0,35.0,2,3608.2474226804125,485.0
Super built-up  Area,18-May,Banashankari,4 BHK,2500.0,4.0,3.0,95.0,4,3800.0,625.0
Super built-up  Area,Ready To Move,Other,2 BHK,1166.0,2.0,1.0,53.0,2,4545.454545454545,583.0
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,2779.0,3.0,1.0,317.0,3,11406.980928391507,926.3333333333334
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,3.0,2.0,58.0,3,4296.2962962962965,450.0
Built-up  Area,Ready To Move,Other,2 BHK,900.0,2.0,3.0,46.0,2,5111.111111111111,450.0
Built-up  Area,Ready To Move,Other,3 BHK,1190.0,3.0,1.0,55.0,3,4621.848739495798,396.6666666666667
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,1495.0,2.0,2.0,75.0,3,5016.722408026756,498.3333333333333
Built-up  Area,Ready To Move,Indira Nagar,2 BHK,1224.0,2.0,2.0,105.0,2,8578.43137254902,612.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,1350.0,2.0,2.0,68.0,3,5037.037037037037,450.0
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,940.0,2.0,1.0,56.8,2,6042.553191489362,470.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,1.0,55.0,2,5000.0,550.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1300.0,2.0,2.0,61.0,2,4692.307692307692,650.0
Built-up  Area,Ready To Move,Other,3 BHK,1480.0,2.0,0.0,145.0,3,9797.297297297297,493.3333333333333
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1105.0,2.0,2.0,46.37,2,4196.380090497738,552.5
Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,2600.0,3.0,2.0,200.0,3,7692.307692307692,866.6666666666666
Super built-up  Area,21-Mar,Yelahanka,3 BHK,1517.0,3.0,2.0,76.3,3,5029.663810151615,505.6666666666667
Built-up  Area,Ready To Move,Horamavu Banaswadi,6 Bedroom,3800.0,8.0,0.0,200.0,6,5263.1578947368425,633.3333333333334
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1615.0,3.0,2.0,89.75,3,5557.275541795666,538.3333333333334
Super built-up  Area,Ready To Move,Other,3 BHK,1500.0,3.0,2.0,65.0,3,4333.333333333333,500.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1082.0,3.0,1.0,50.5,3,4667.28280961183,360.6666666666667
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1365.0,2.0,2.0,73.0,2,5347.985347985348,682.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1000.0,2.0,3.0,25.0,2,2500.0,500.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1392.0,2.0,1.0,98.0,2,7040.229885057472,696.0
Super built-up  Area,18-Apr,Other,2 BHK,1086.0,2.0,1.0,33.66,2,3099.4475138121543,543.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1586.0,3.0,3.0,93.94,3,5923.076923076923,528.6666666666666
Built-up  Area,Ready To Move,Hennur,2 BHK,1100.0,2.0,1.0,60.0,2,5454.545454545455,550.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1065.0,2.0,1.0,30.75,2,2887.323943661972,532.5
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1500.0,2.0,1.0,120.0,3,8000.0,500.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2.0,2.0,120.0,3,7619.047619047619,525.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1975.0,3.0,3.0,123.0,3,6227.848101265823,658.3333333333334
Super built-up  Area,Ready To Move,Other,2 BHK,820.0,2.0,2.0,24.0,2,2926.829268292683,410.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745.0,3.0,2.0,110.0,3,6303.7249283667625,581.6666666666666
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,1223.0,2.0,1.0,60.0,2,4905.968928863451,611.5
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,1200.0,2.0,1.0,65.0,3,5416.666666666667,400.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200.0,2.0,0.0,90.0,2,7500.0,600.0
Super built-up  Area,19-Dec,Binny Pete,1 BHK,665.0,1.0,1.0,46.08,1,6929.3233082706765,665.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,1351.0,2.0,2.0,70.0,2,5181.347150259067,675.5
Super built-up  Area,18-Dec,Hebbal,3 BHK,1355.0,3.0,1.0,83.87,3,6189.667896678967,451.6666666666667
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,3900.0,3.0,2.0,300.0,3,7692.307692307692,1300.0
Super built-up  Area,18-Nov,Thanisandra,3 BHK,1588.0,3.0,1.0,75.55,3,4757.556675062972,529.3333333333334
Carpet  Area,Ready To Move,Amruthahalli,2 BHK,900.0,2.0,1.0,60.0,2,6666.666666666667,450.0
Built-up  Area,18-Feb,Harlur,4 Bedroom,3385.0,4.0,2.0,260.0,4,7680.945347119646,846.25
Super built-up  Area,Ready To Move,Panathur,3 BHK,1370.0,2.0,2.0,75.0,3,5474.4525547445255,456.6666666666667
Plot  Area,18-Dec,Whitefield,3 Bedroom,1500.0,3.0,1.0,71.8,3,4786.666666666667,500.0
Super built-up  Area,Ready To Move,Other,3 BHK,2280.0,3.0,2.0,285.0,3,12500.0,760.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,1247.0,2.0,0.0,53.0,2,4250.200481154771,623.5
Super built-up  Area,19-Dec,Other,3 BHK,2000.0,3.0,2.0,200.0,3,10000.0,666.6666666666666
Super built-up  Area,18-Jul,Balagere,2 BHK,1020.07,2.0,1.0,68.38,2,6703.461527150097,510.035
Super built-up  Area,19-Dec,Other,3 BHK,1033.0,2.0,2.0,32.0,3,3097.773475314618,344.3333333333333
Built-up  Area,Ready To Move,Other,3 BHK,1460.0,2.0,3.0,73.0,3,5000.0,486.6666666666667
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1150.0,2.0,2.0,52.8,2,4591.304347826087,575.0
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,5965.0,5.0,2.0,385.0,5,6454.316848281643,1193.0
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1141.0,2.0,1.0,46.0,2,4031.5512708150745,570.5
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,2912.5,6.0,0.0,125.5,4,4309.01287553648,728.125
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,4200.0,4.0,3.0,325.0,4,7738.0952380952385,1050.0
Super built-up  Area,18-Jul,Hosa Road,3 BHK,1665.0,2.0,3.0,125.0,3,7507.507507507507,555.0
Super built-up  Area,18-Dec,Kanakapura,2 BHK,1295.0,2.0,2.0,64.0,2,4942.084942084942,647.5
Super built-up  Area,18-Aug,Haralur Road,2 BHK,1230.0,2.0,1.0,78.0,2,6341.463414634146,615.0
Super built-up  Area,Ready To Move,Other,3 BHK,1080.0,2.0,2.0,75.0,3,6944.444444444444,360.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,1000.0,2.0,1.0,60.0,2,6000.0,500.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,2400.0,2.0,0.0,50.0,3,2083.3333333333335,800.0
Super built-up  Area,19-Dec,Whitefield,1 BHK,630.5,1.0,0.0,32.79,1,5200.634417129262,630.5
Super built-up  Area,18-May,Rayasandra,3 BHK,1708.0,3.0,2.0,75.0,3,4391.100702576113,569.3333333333334
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1697.0,3.0,2.0,115.0,3,6776.664702416028,565.6666666666666
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3537.0,5.0,3.0,210.0,4,5937.234944868533,884.25
Super built-up  Area,19-Mar,Hosa Road,1 BHK,615.0,1.0,1.0,28.29,1,4600.0,615.0
Built-up  Area,Ready To Move,Banashankari,3 BHK,1350.0,2.0,0.0,83.0,3,6148.148148148148,450.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1530.0,2.0,2.0,66.4,3,4339.869281045752,510.0
Super built-up  Area,19-Dec,Jalahalli,2 BHK,1083.0,2.0,1.0,32.49,2,3000.0,541.5
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1460.0,2.0,2.0,65.0,3,4452.054794520548,486.6666666666667
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,1084.0,2.0,1.0,58.0,2,5350.553505535056,542.0
Super built-up  Area,18-May,Bommasandra,2 BHK,1035.0,2.0,1.0,41.43,2,4002.8985507246375,517.5
Super built-up  Area,Ready To Move,Other,3 BHK,2400.0,2.0,1.0,150.0,3,6250.0,800.0
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,460.0,1.0,1.0,21.0,1,4565.217391304348,460.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1285.0,2.0,2.0,55.9,2,4350.194552529183,642.5
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1200.0,3.0,2.0,78.0,3,6500.0,400.0
Built-up  Area,Ready To Move,Other,2 BHK,1070.0,2.0,1.0,35.0,2,3271.0280373831774,535.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801.0,3.0,2.0,140.0,3,7773.459189339256,600.3333333333334
Super built-up  Area,18-Dec,Whitefield,3 BHK,1697.0,3.0,2.0,115.0,3,6776.664702416028,565.6666666666666
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1199.0,2.0,2.0,65.0,2,5421.184320266889,599.5
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,2300.0,3.0,1.0,220.0,3,9565.217391304348,766.6666666666666
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1340.0,2.0,3.0,64.31,3,4799.253731343284,446.6666666666667
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,3800.0,4.0,3.0,205.0,4,5394.736842105263,950.0
Super built-up  Area,Ready To Move,Other,2 BHK,1125.0,2.0,1.0,75.0,2,6666.666666666667,562.5
Plot  Area,Ready To Move,Anandapura,2 Bedroom,1200.0,2.0,1.0,67.0,2,5583.333333333333,600.0
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1050.0,2.0,3.0,41.0,2,3904.7619047619046,525.0
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,956.0,2.0,1.0,49.0,2,5125.523012552301,478.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1000.0,2.0,2.0,30.0,2,3000.0,500.0
Built-up  Area,Ready To Move,Other,3 BHK,1596.0,3.0,0.0,95.0,3,5952.380952380952,532.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1296.0,2.0,3.0,89.06,2,6871.913580246914,648.0
Built-up  Area,Ready To Move,Other,3 BHK,1639.0,3.0,3.0,123.0,3,7504.5759609518,546.3333333333334
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1219.0,2.0,1.0,61.25,2,5024.610336341263,609.5
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1200.0,3.0,1.0,50.0,3,4166.666666666667,400.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1218.0,2.0,1.0,73.0,2,5993.431855500821,609.0
Super built-up  Area,Ready To Move,Other,2 BHK,920.0,2.0,3.0,37.0,2,4021.7391304347825,460.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2559.0,3.0,2.0,141.0,3,5509.964830011723,853.0
Super built-up  Area,22-Dec,Other,1 BHK,525.0,1.0,1.0,26.0,1,4952.380952380952,525.0
Super built-up  Area,18-Feb,Bannerghatta Road,3 BHK,1427.0,2.0,2.0,48.51,3,3399.4393833216536,475.6666666666667
Super built-up  Area,18-Apr,Kothannur,3 BHK,1270.0,3.0,2.0,45.0,3,3543.3070866141734,423.3333333333333
Built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,920.0,2.0,3.0,65.0,2,7065.217391304348,460.0
Built-up  Area,Ready To Move,Dommasandra,4 Bedroom,2700.0,3.0,2.0,68.0,4,2518.5185185185187,675.0
Super built-up  Area,Ready To Move,Other,3 BHK,1740.0,3.0,2.0,199.0,3,11436.781609195403,580.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1355.0,2.0,2.0,40.0,3,2952.029520295203,451.6666666666667
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1530.0,2.0,2.0,90.0,3,5882.35294117647,510.0
Carpet  Area,Ready To Move,Other,3 BHK,1372.0,2.0,1.0,90.0,3,6559.766763848396,457.3333333333333
Super built-up  Area,Ready To Move,Nehru Nagar,4 BHK,2363.0,5.0,2.0,120.0,4,5078.290308929327,590.75
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,3895.0,4.0,3.0,220.0,4,5648.267008985879,973.75
Super built-up  Area,20-Jun,Jakkur,3 BHK,1950.0,3.0,2.0,131.0,3,6717.948717948718,650.0
Built-up  Area,Ready To Move,Other,2 BHK,885.0,2.0,3.0,40.0,2,4519.774011299435,442.5
Built-up  Area,Ready To Move,Yelahanka,2 BHK,600.0,2.0,2.0,27.0,2,4500.0,300.0
Plot  Area,Ready To Move,Vijayanagar,2 Bedroom,1380.0,2.0,0.0,225.0,2,16304.347826086956,690.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339.0,2.0,2.0,62.0,2,4630.321135175504,669.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1130.0,2.0,1.0,36.0,2,3185.8407079646017,565.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1085.0,2.0,2.0,43.0,2,3963.1336405529955,542.5
Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1430.0,3.0,2.0,72.0,3,5034.965034965035,476.6666666666667
Carpet  Area,18-Dec,Bhoganhalli,4 BHK,1451.5,4.0,1.0,121.0,4,8336.203926972097,362.875
Super built-up  Area,Ready To Move,Other,5 BHK,6200.0,5.0,2.0,720.0,5,11612.90322580645,1240.0
Super built-up  Area,Ready To Move,Other,3 BHK,1490.0,2.0,1.0,59.6,3,4000.0,496.6666666666667
Built-up  Area,Ready To Move,Other,4 BHK,1650.0,4.0,0.0,99.0,4,6000.0,412.5
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1286.0,2.0,2.0,57.0,2,4432.348367029549,643.0
Built-up  Area,Ready To Move,Other,2 BHK,925.0,2.0,2.0,63.0,2,6810.810810810811,462.5
Super built-up  Area,Ready To Move,Bellandur,4 BHK,3016.0,4.0,3.0,230.0,4,7625.994694960213,754.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1000.0,2.0,2.0,44.0,2,4400.0,500.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1215.0,2.0,2.0,39.0,2,3209.8765432098767,607.5
Plot  Area,Ready To Move,Other,4 Bedroom,1200.0,3.0,1.0,95.0,4,7916.666666666667,300.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1336.0,2.0,2.0,100.0,2,7485.029940119761,668.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,673.0,1.0,1.0,36.85,1,5475.482912332838,673.0
Plot  Area,Ready To Move,Anandapura,2 Bedroom,1200.0,2.0,1.0,58.0,2,4833.333333333333,600.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,1600.0,3.0,3.0,160.0,3,10000.0,533.3333333333334
Plot  Area,Ready To Move,Other,2 Bedroom,1200.0,2.0,0.0,79.0,2,6583.333333333333,600.0
Plot  Area,Ready To Move,Indira Nagar,6 Bedroom,2480.0,4.0,1.0,750.0,6,30241.935483870966,413.3333333333333
Super built-up  Area,18-Apr,Other,3 BHK,2500.0,3.0,2.0,270.0,3,10800.0,833.3333333333334
Plot  Area,Ready To Move,Devanahalli,5 Bedroom,2400.0,5.0,3.0,100.0,5,4166.666666666667,480.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,1143.0,2.0,2.0,65.0,2,5686.789151356081,571.5
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1470.0,2.0,2.0,61.74,2,4200.0,735.0
Plot  Area,Ready To Move,Other,4 Bedroom,1584.0,3.0,2.0,145.0,4,9154.040404040405,396.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1785.0,3.0,2.0,94.0,3,5266.106442577031,595.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,2292.0,3.0,2.0,286.0,3,12478.184991273996,764.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1460.0,3.0,3.0,71.0,3,4863.013698630137,486.6666666666667
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1500.0,2.0,3.0,80.0,3,5333.333333333333,500.0
